id,name,description,effect,requirement,type,weapon_type,buy_price,sell_price,market_value,circulation,image,tradeable
785,Book : Memories And Mammaries,"Some people are blessed with a photographic memory, others possess a naturally advanced brain capacity - but what about the rest of us? During her teenage years, mathematician and convicted felon Jennifer Yellow-Hat noticed that her friends had an astounding ability to recall her words whenever she wore a bulky sweater. Conversely, on days where her cleavage was on display, her associates' efforts to memorise facts and figures failed repeatedly. Her conclusion that the presence of breasts reduces the human mind's capacity for memory helped one Harvard student to a 100% grade on his advanced physics paper, and in <span class=""italic"">Memories and Mammaries</span> Ms Yellow-Hat explains how you too can improve information retention with three simple boob banishing techniques.
<br/><br/>
<span class=""bold"">""What's my name again? Who are you? What am I doing here?""</span><br/>
<span class=""t-gray-9"">- Hugh Hefner</span>",Takes the same effect from the last used book for 31 days.,,Book,,0,0,0,18313,https://www.torn.com/images/items/785/large.png,FALSE
786,Book : Brown-nosing The Boss,"The term ""brown-nosing"" refers to the behavior of an employee attempting to curry favor with their superior or superiors. It was first coined by the Roman Emperor Tiberius, whose appointed counsel frequently cleansed their leader's unvarnished penny as an act of worship and servitude. Obviously such techniques are inappropriate today, but what modern equivalents can an employee use to increase their workplace reputation? With step-by-step guides to everything from incisive compliments through to impromptu massage at the urinals, <span class=""italic"">Brown-nosing The Boss</span> is the most important career-progression tool you will ever need.",Greatly increases personal employee effectiveness for 31 days.,,Book,,0,0,0,19488,https://www.torn.com/images/items/786/large.png,FALSE
787,Book : Running Away From Trouble,"Some of Torn's most respected cowards draw upon a lifetime's experience of running from scary shit to offer an eye-opening glimpse into the world of the namby pamby wuss. In this guide you'll find strategies and stories, none of which are heroic, which you can use to inspire yourself to run screaming like a little girl at the next sign of trouble.
<br/><br/>
<span class=""bold"">""A book so gutless we're surprised it's even got a spine""</span><br/>
<span class=""t-gray-9"">- The New York Times</span>",Guaranteed attacking escape attempt success for 31 days.,,Book,,0,0,0,19050,https://www.torn.com/images/items/787/large.png,FALSE
788,Certificate of Awesome,"If there was an Awesomeness competition you would come first, second and third. And then we'd end the competition, burn down the stadium, and award you this Certificate of Awesome.",,,Other,,0,0,10011,888326,https://www.torn.com/images/items/788/large.png,TRUE
789,Certificate of Lame,"There's nothing worse than trying and failing. You may as well just give up on life now. This Certificate of Lame can be presented at any pharmacy in exchange for a bottle of vodka, sleeping pills, and medicinal suicide grenades.",,,Other,,0,0,3969,484695,https://www.torn.com/images/items/789/large.png,TRUE
790,Plastic Sword,Kids have so much fun fighting with plastic swords and now you can too! Unless of course your opponent has an actual sword...,,,Melee,Clubbing,0,4,25,489785,https://www.torn.com/images/items/790/large.png,TRUE
791,Mediocre T-Shirt,Need to blend into a crowd? Nothing says 'Average Joe' like this Mediocre T-shirt. Wear this on the streets and both cops and crooks will know you are reasonably okay at stuff.,,,Clothing,,0,7,1046,1003519,https://www.torn.com/images/items/791/large.png,TRUE
792,Penelope,"Penelope is Duke's favourite baseball bat which he's had since he was a kid. It is named after his ex-girlfriend Penelope because he likes to smash people in the balls with it, which was her favourite pastime too.",,,Melee,Clubbing,0,0,0,1065,https://www.torn.com/images/items/792/large.png,FALSE
793,Cake Frosting,"Just regular frosting. You know, the kind your mom buys for your birthday cake when she doesn't love you enough to make it herself.",Can be used with a Fruitcake and Lock Picking Kit to create a Special Fruitcake.,,Special,,0,0,0,614,https://www.torn.com/images/items/793/large.png,FALSE
794,Lock Picking Kit,"This kit can pick any lock, key or electronic, and is small enough to be secreted anywhere you like. Except there.",Can be used with a Fruitcake and Cake Frosting to create a Special Fruitcake.,,Special,,0,0,0,614,https://www.torn.com/images/items/794/large.png,FALSE
795,Special Fruitcake,This fruitcake isn't "special" in the same way as your cousin Billy. It just means it now contains a secret lock picking kit.,Can be sent to someone allowing them to break out of jail.,,Tool,,0,0,0,118,https://www.torn.com/images/items/795/large.png,FALSE
796,Felovax,Felovax is a vaccine for cats against the Feline Immunodeficiency Virus. You are now safe from Cat AIDS.,Treats Feline Immunodeficiency Virus.,,Medical,,0,0,0,453,https://www.torn.com/images/items/796/large.png,FALSE
797,Zylkene,Zylkene is a stress reducing drug mostly prescribed to dogs.,Reduces stress in canines.,,Medical,,0,0,0,423,https://www.torn.com/images/items/797/large.png,FALSE
798,Duke's Safe,"Duke's safe isn't used for mere money, the things you'll find in here will make you feel dirtier than if you licked the bottom of a garbage can.",Can be opened to reveal the contents if the correct combination is entered.,,Supply Pack,,0,0,0,891,https://www.torn.com/images/items/798/large.png,FALSE
799,Duke's Selfies,"Duke's naked polaroids from the '80s show a much fitter, leaner gentleman.",,,Other,,0,0,0,46666,https://www.torn.com/images/items/799/large.png,FALSE
800,Duke's Poetry,"To offset his violent tendencies, Duke relaxes by writing love poems in this book.",,,Other,,0,0,0,46509,https://www.torn.com/images/items/800/large.png,FALSE
801,Duke's Dog's Ashes,Duke's dog Nixon was killed by squirrels. His ashes are stored in this urn.,,,Other,,0,0,0,46464,https://www.torn.com/images/items/801/large.png,FALSE
802,Duke's Will,This will bequeaths Duke's possessions to his ex-girlfriend Penelope...not the baseball bat.,,,Other,,0,0,0,46687,https://www.torn.com/images/items/802/large.png,FALSE
803,Duke's Gimp Mask,Duke accidentally bought this leather gimp mask thinking it was a sleeping hood...or so he says.,,,Clothing,,0,0,0,45950,https://www.torn.com/images/items/803/large.png,FALSE
804,Duke's Herpes Medication,"This packet may or may not contain herpes medication, but Duke takes them anyway.",,,Medical,,0,0,0,46393,https://www.torn.com/images/items/804/large.png,FALSE
805,Duke's Hammer,A devastatingly brutal claw hammer which is also a fruity shade of purple. Duke likes purple.,,,Melee,Clubbing,0,0,0,1220,https://www.torn.com/images/items/805/large.png,FALSE
806,Old Lady Mask,With this realistic rubber old lady mask you could infiltrate an old folks home easily...if you wanted to.,,,Clothing,,0,0,14411,109262,https://www.torn.com/images/items/806/large.png,TRUE
807,Exotic Gentleman Mask,"Nobody can decide whether this rubber mask of an Indian man is racist or not. Duke owns it, so it probably is.",,,Clothing,,0,0,11134,109132,https://www.torn.com/images/items/807/large.png,TRUE
808,Ginger Kid Mask,Ever wanted to experience ginger-prejudice up close and personal? Try this rubber ginger kid mask!,,,Clothing,,0,0,16026,108931,https://www.torn.com/images/items/808/large.png,TRUE
809,Young Lady Mask,With this realistic attractive young lady mask you too can be cat-called by construction workers whenever you like.,,,Clothing,,0,0,13419,109665,https://www.torn.com/images/items/809/large.png,TRUE
810,Moustache Man Mask,"Everyone trusts a guy with a moustache, but if you can't grow your own this rubber moustache man mask will do the job instead.",,,Clothing,,0,0,12794,108965,https://www.torn.com/images/items/810/large.png,TRUE
811,Scarred Man Mask,"This rubber scarred man mask is perfect for Halloween, or getting your own row of seats on the bus.",,,Clothing,,0,0,22593,108881,https://www.torn.com/images/items/811/large.png,TRUE
812,Psycho Clown Mask,This rubber psycho clown mask is so realistic even your unborn grandchildren will have nightmares.,,,Clothing,,0,0,79856,115884,https://www.torn.com/images/items/812/large.png,TRUE
813,Nun Mask,"Nobody suspects a nun of anything untoward, so why not wear this realistic rubber nun mask whilst committing terrible acts in the Lord's name?",,,Clothing,,0,0,12813,115955,https://www.torn.com/images/items/813/large.png,TRUE
814,Tyrosine,"Tyrosine acts as a mental alertness booster by synthesising itself into dopamine; a compound which improves the transport of messages between nerve cells and neurons. Tests on animals show that Tyrosine can have an effect on mood and alertness. When used in combat, this steroid will provide a massive bonus to dexterity.","User becomes Sharpened, increasing Dexterity by 500% for 120 seconds.",Requires the Bachelor of Biology education course.,Temporary,Temporary,600000,450000,607845,356292,https://www.torn.com/images/items/814/large.png,TRUE
815,Keg of Beer,"This keg will provide you with a delicious glass of foaming ice-cold beer, but if you're planning to chug the whole thing you may be out of luck. The quantity of intoxicating liquor within each keg is unknown, meaning you could squeeze out five, ten or even just a single solitary pint from this item. Make sure to savour every drop, because it could be your last.",Provides a Glass of Beer when used. Estimated 80 servings.,,Supply Pack,,0,0,5982319,35739,https://www.torn.com/images/items/815/large.png,TRUE
816,Glass of Beer,"Only savages drink beer straight out of the bottle. This glass of beer is obtained fresh from the keg, and provides the same level of drunken joy as you'd get from a regular bottle of suds. Provides a moderate nerve increase when consumed.",Increases nerve by 2 and booster cooldown by 1 hour.,,Alcohol,,0,0,0,1114586,https://www.torn.com/images/items/816/large.png,FALSE
817,Six-Pack of Alcohol,"When one bottle of booze simply isn't enough, this six-pack of exquisite forget-me-juice is just the thing you need to block out painful memories and make you feel on top of the world. Minty Mayhem, Kandy Kane, and Pumpkin Brew are just some of the drinks your randomly selected six-pack might contain.",Provides 6 premium alcoholic drinks when opened.,,Supply Pack,,0,0,802403,669831,https://www.torn.com/images/items/817/large.png,TRUE
818,Six-Pack of Energy Drink,"Need a pick me up? This randomly chosen six-pack of assorted energy drinks will have you shaking with pure enthusiasm in five seconds flat. Munster, Red Cow or Taurine Elite could be waiting for you in this carefully curated collection of refreshing liquid vitality...as could a heart attack.",Provides 6 premium energy drinks when opened.,,Supply Pack,,0,0,11847412,378088,https://www.torn.com/images/items/818/large.png,TRUE
819,Rosary Beads,"If your god or gods still won't answer your prayers then these deity-tempting Rosary Beads are sure to get their attention. Made from the most sacred blend of polyurethane on the market, holding these in the palm of your hand will increase the effects of praying in the Church.",Boosts the effects of praying in the church by 10%.,,Enhancer,,0,0,1052502,56711,https://www.torn.com/images/items/819/large.png,TRUE
820,Piggy Bank,"The Piggy Bank is a porcine pottery vessel which can be used to store money. If you find saving hard, this item works in lieu of willpower to stash your cash away for a rainy day, as its contents can only be acquired by smashing it open.",Can safely store money. Withdrawing the contents will destroy the item.,,Special,,0,0,0,101362,https://www.torn.com/images/items/820/large.png,FALSE
821,Empty Vial,"Suitable for storing all manner of excretia and internal fluids, the glass vial comes with a water-tight screw-top lid designed to prevent spillage.",Can be filled with bodily fluids.,,Other,,0,0,0,0,https://www.torn.com/images/items/821/large.png,FALSE
822,Vial of Blood,This is a glass vial which now contains your blood. Take care not to spill it at a crime scene.,,,Other,,0,0,0,0,https://www.torn.com/images/items/822/large.png,FALSE
823,Vial of Urine,This is a glass vial which now contains your urine. It feels pleasantly warm to the touch.,,,Other,,0,0,0,0,https://www.torn.com/images/items/823/large.png,FALSE
824,Vial of Saliva,This is a glass vial which now contains your saliva. If you forgot to brush your teeth beforehand it may also contain traces of your dinner.,,,Other,,0,0,0,0,https://www.torn.com/images/items/824/large.png,FALSE
825,Questionnaire,"The Neurological Uniform Temperament Survey is a form containing probing psychological questions, the answers to which can be used to determine the subject's proclivities for violence, empathy and general shenanigans.",Needs to be completed and returned to Amanda.,,Other,,0,0,0,0,https://www.torn.com/images/items/825/large.png,FALSE
826,Agreement,"The Casus Foederis is a legal document created on behalf of Professor Amanda Ravenscroft. The signing of this document allows for your continued employment by the Professor, but you would be wise to read its terms before you do so.",Needs to be signed and returned to Amanda.,,Other,,0,0,0,0,https://www.torn.com/images/items/826/large.png,FALSE
827,Perceptron : Calibrator,"This calibration edition of the Perceptron is a handheld tablet loaded with Psyreader 4.001 cognitive profiling software. This program utilises the user's response to logical, emotional and creative stimulus in order to generate a virtual mental profile, a profile which is subsequently used to calibrate any further devices used by the individual.",,,Other,,0,0,0,1,https://www.torn.com/images/items/827/large.png,FALSE
828,Donald Trump Mask '16,"Whether you love him or hate him, there's no denying that Donald Trump certainly exists. And now you too can walk around snatching felines at will with this realistic rubber depiction of his frequently animated face. (Made in Mexico)",,,Clothing,,0,0,0,60,https://www.torn.com/images/items/828/large.png,TRUE
829,Yellow Snowman '16,"We've all made snowmen before, and who doesn't love writing their name in yellow snow? But rarely are these two elegant pastimes combined, until now, with this magnificent showstopping ornament made from 100% anonymous tramp urine.",,,Collectible,,0,0,0,10,https://www.torn.com/images/items/829/large.png,TRUE
830,Nock Gun,"The Nock Gun is a seven-barrelled rifle used by the British Royal Navy in the 18th Century. Capable of firing all seven of its 12mm rounds at once, the recoil from this gun means it can be fired just once per encounter, yet if you hit your opponent, once is all that's needed. Owned by Leslie Chanthavong thanks to his ancestors' theft of them from a Navy frigate 300 years ago, Leslie insists that each round fired from this weapon has spent a small period of time inside his bottom.",,,Primary,Shotgun,0,0,0,68,https://www.torn.com/images/items/830/large.png,TRUE
831,Beretta Pico,"If you're looking for a handgun small enough to hide in your bra yet strong enough to stop a horse, then the Beretta Pico is the firearm for you. The Pico is the thinnest semi-auto handgun in the world, and is capable of holding 6 .380 bullets inside its tiny 5 inch frame.",,,Secondary,Pistol,0,0,0,2518,https://www.torn.com/images/items/831/large.png,TRUE
832,Riding Crop,"Wielded by equestrians and perverts alike, the riding crop is a 30-inch lash-less whip comprising a fibreglass cane covered in leather. With one end thickened for grip and the other finished with a leather tongue, it is designed so as to not leave a mark when used. Using just a single flick of the wrist, one can inflict a great deal of pain or pleasure with this tasty little item.",,,Melee,Slashing,0,0,0,306,https://www.torn.com/images/items/832/large.png,TRUE
833,Sand,"There's nothing worse than getting sand in your eyes, especially in the middle of a fight with an aggressive stranger. Thankfully, sand fights are now illegal in Torn, meaning this substance can only be used for wholesome activities like forging keys and cop badges. This superfine material is most commonly found along the low tide line at the beach, where waves, wind, and the stresses of ocean life have ground regular sand down into an almost powder like substance. You might also find some in your sandwiches, if you're really unlucky.","Required during the production of forgery projects.
Dampens a fire's intensity and momentum with medium risk in Arson.",,Material,,0,0,80564,303487,https://www.torn.com/images/items/833/large.png,TRUE
834,Sweatpants,These grubby sweatpants belong to Leslie Chanthavong and have his name sewn into them. If you are wearing them you may wish to make an appointment at the local GUM clinic as soon as possible.,,,Clothing,,0,0,494253,9359,https://www.torn.com/images/items/834/large.png,TRUE
835,String Vest,"For a look that screams welfare-dependent alcoholic, this lightly soiled string vest is a staple fixture in the wardrobe of any self-respecting bum.",,,Clothing,,0,0,176711,9520,https://www.torn.com/images/items/835/large.png,TRUE
836,Black Oxfords,"This pair of classy, gentleman's Oxford shoes are tough, buffed and guaranteed to make even the most insignificant lowlife feel like a big shot. Just don't go wearing them for a game of Foot Roulette.",,,Clothing,,0,0,8766666,2641,https://www.torn.com/images/items/836/large.png,TRUE
837,Rheinmetall MG 3,"This German-made, belt-fed machine gun works best when mounted on a tripod or vehicle, but it still looks pretty badass wielded in one hand Rambo-style. Its surprisingly short recoil is complimented by a fire rate of 1300 rounds per minute, and with an effective range of 200 to 1200 metres there's no hiding from this weapon's deadly brand of German efficiency.",,,Primary,Machine gun,0,0,605260082,173,https://www.torn.com/images/items/837/large.png,TRUE
838,Homemade Pocket Shotgun,"Capable of firing a single 12 gauge shell with more accuracy than a regular shotgun, this concealable pistol-sized sidearm will probably do as much damage to you as it does your opponent. But despite its hefty recoil and single-shell capacity, one shot from this baby is often more than enough.",,,Secondary,Shotgun,0,0,20440722,2273,https://www.torn.com/images/items/838/large.png,TRUE
839,Madball,"The Madball is the weapon of choice for gangsters on a budget, consisting of nothing more than a billiard ball placed into the end of a tube sock. But don't let this weapon's simple nature deceive you, because a single crack to the skull can render even the toughest brutes unconscious within seconds.",,,Melee,Clubbing,0,0,16000000,2162,https://www.torn.com/images/items/839/large.png,TRUE
840,Nail Bomb,"Based on an old Irish recipe passed down through the generations, this particular style of Nail Bomb comes in the form of a pressure cooker filled with nails, ball-bearings and razorblades. Detonated using a blasting cap placed into the cooker's cover, many hapless terrorists have been known to confuse this device for a pot of mammy's delicious stew.",,,Temporary,Temporary,0,0,2661748,10250,https://www.torn.com/images/items/840/large.png,TRUE
841,Classic Fedora,"With its wide-brim and indented crown, the Fedora proved a popular choice for gangsters and criminals of the early 20th Century. Later sported by the likes of Frank Sinatra, Indiana Jones and Michael Jackson, this piece of elegant headgear is often made of wool, cashmere or rabbit-hair, but this particular edition comes thanks to the eternal sacrifice of three brave chinchillas.",,,Clothing,,0,0,757496,7701,https://www.torn.com/images/items/841/large.png,TRUE
842,Pinstripe Suit Trousers,"These stylish pinstripe suit trousers are made from 100% natural wool, which guarantees both long-lasting wear and the flexibility needed to swiftly kick a man when he's down.",,,Clothing,,0,0,1366658,7673,https://www.torn.com/images/items/842/large.png,TRUE
843,Duster,"Traditionally the preserve of cowboys, 50's detectives and 90's high-school shooters, the trenchcoat duster allows you to circumvent concealed carry laws with ease and keep your enemy guessing until the very last moment.",,,Clothing,,0,0,0,180,https://www.torn.com/images/items/843/large.png,TRUE
844,Tranquilizer Gun,"The Tranquiliser Gun fires etorphine-laced darts at a rate of one every twenty seconds, requiring fast reflexes and a keen eye to be in the least bit effective.",,,Secondary,Piercing,0,0,0,0,https://www.torn.com/images/items/844/large.png,TRUE
845,Bolt Gun,"Using pressurised air to propel a pointed metal projectile, the Bolt Gun is capable of penetrating the skull of most creatures with one devastating shot. Often found on farms and in slaughterhouses, this weapon's retractable ammunition requires a close-range hit to be effective.",,,Melee,Mechanical,0,0,0,0,https://www.torn.com/images/items/845/large.png,TRUE
846,Scalpel,"This surgical scalpel boasts a blade that is crafted from volcanic glass, far surpassing the sharpness of conventional steel. Its ultra-fine edge glides effortlessly through flesh, enabling precision cuts at a cellular level. Perfect for crafting the most intricate of details, this scalpel is an indispensable tool for forgers and mutilators alike.",Required for the production of forgery projects.,,Melee,Piercing,0,0,416,82892,https://www.torn.com/images/items/846/large.png,TRUE
847,Nerve Gas,"Odorless, colourless and extremely potent, Sarin Nerve gas paralyses the lung muscles to cause death from suffocation within one to ten minutes after inhalation.",Opponent receives Contaminated damage over 20 turns.,,Temporary,Temporary,0,0,0,11,https://www.torn.com/images/items/847/large.png,TRUE
848,Kevlar Lab Coat,"This laboratory coat consists of a Kevlar polymer reinforced with carbon-fiber and overlaid with fire-resistant Nomex. Knives, bullets and flames will have a hard time penetrating this piece of apparel.",,,Defensive,,0,0,0,0,https://www.torn.com/images/items/848/large.png,TRUE
849,Loupes,"Whether you're performing life-saving surgery or an agonising vivisection procedure, these head-mounted medical loupes allow you to magnify your view of the subject and make incisions with precision.",,,Clothing,,0,0,0,0,https://www.torn.com/images/items/849/large.png,TRUE
850,Sledgehammer,"The 40lb Sledgehammer is a difficult weapon to wield. But if you do manage to connect with your opponent, a single blow is often enough to pulverize their pelvis into dust. Incidentally, that's why Peter Gabriel chose this as his nickname.",,,Melee,Clubbing,0,0,0,192,https://www.torn.com/images/items/850/large.png,TRUE
851,Wifebeater,"Whenever someone rocks up to a fight wearing a vest, you know they're gonna be able to take a punch. There's just something about the wifebeater vest that makes you harder to put down. Don't believe us, try it for yourself!",,,Clothing,,0,0,0,0,https://www.torn.com/images/items/851/large.png,TRUE
852,Metal Detector,"Most frequently found in the hands of lonely middle-aged men with nothing better to do on a Sunday, the metal detector is a handheld device capable of locating metallic objects through sand, soil and human flesh.",Enables ability to search the beach.,,Tool,,0,0,1323356,91329,https://www.torn.com/images/items/852/large.png,TRUE
853,Cemetery Key,"As its name suggests, this key grants access to the Torn City cemetery, enabling you to desecrate graves, interfere with corpses and make goth music videos as often as you so wish.",Enables access to the cemetery.,,Tool,,0,0,3117179,75140,https://www.torn.com/images/items/853/large.png,TRUE
854,Questionnaire : Completed,"The Neurological Uniform Temperament Survey is a form containing probing psychological questions, the answers to which can be used to determine the subject's proclivities for violence, empathy and general shenanigans.",Needs to be returned to Amanda.,,Other,,0,0,0,4,https://www.torn.com/images/items/854/large.png,FALSE
855,Agreement : Signed,"The Casus Foederis is a legal document created on behalf of Professor Amanda Ravenscroft. The signing of this document allows for your continued employment by the Professor, but you would be wise to read its terms before you do so.",Needs to be returned to Amanda.,,Other,,0,0,0,1,https://www.torn.com/images/items/855/large.png,FALSE
856,Spray Paint : Black,"This aerosol can contains approximately 400ml of black spray paint. The black items displayed on the can include a chalkboard, some coal, a blackbird, and the darkened void of your immediate surroundings after being locked in the cellar and fed nothing but pins.","Used to spray graffiti.
Used during the production of forgery projects.
Used by the Techie role during the No Reserve scenario.",,Material,,10,5,303,3859394,https://www.torn.com/images/items/856/large.png,TRUE
857,Spray Paint : Red,"This aerosol can contains approximately 400ml of red spray paint. The red items displayed on the can include a tomato, a firetruck, a stop sign, and the blood-spattered victims of a brutal murder suicide.",Used to spray graffiti.,,Material,,10,5,300,3515035,https://www.torn.com/images/items/857/large.png,TRUE
858,Spray Paint : Pink,"This aerosol can contains approximately 400ml of pink spray paint. The pink items displayed on the can include a piglet, cotton candy, flamingoes, and a sunburnt version of the singer Alecia Beth Moore Hart.",Used to spray graffiti.,,Material,,10,5,300,2937879,https://www.torn.com/images/items/858/large.png,TRUE
859,Spray Paint : Purple,"This aerosol can contains approximately 400ml of purple spray paint. The purple items displayed on the can include grapes, an eggplant, some pansies, and a really big bruise that looks like it'll be sore tomorrow.",Used to spray graffiti.,,Material,,10,5,296,2675704,https://www.torn.com/images/items/859/large.png,TRUE
860,Spray Paint : Blue,"This aerosol can contains approximately 400ml of blue spray paint. The blue items displayed on the can include blueberries, the ocean, a bunch of cornflowers, and a waffle.",Used to spray graffiti.,,Material,,10,5,300,3117445,https://www.torn.com/images/items/860/large.png,TRUE
861,Spray Paint : Green,"This aerosol can contains approximately 400ml of green spray paint. The green items displayed on the can include a frog, a patch of grass, a cannabis leaf, and a tubby child's face after riding a rollercoaster.",Used to spray graffiti.,,Material,,10,5,304,2780704,https://www.torn.com/images/items/861/large.png,TRUE
862,Spray Paint : White,"This aerosol can contains approximately 400ml of white spray paint. The white items displayed on the can include a sheet of A4 paper, a snowflake, cotton wool, and a spooky-gentleman dressed like some kind of pointy ghost.","Used to spray graffiti.
Used during the production of forgery projects.",,Material,,10,5,290,3613831,https://www.torn.com/images/items/862/large.png,TRUE
863,Spray Paint : Orange,"This aerosol can contains approximately 400ml of orange spray paint. The orange items displayed on the can include a satsuma, cheetos, a kinky drawing of Garfield, and the Pornhub logo stencilled onto Donald Trump's face.",Used to spray graffiti.,,Material,,10,5,512,1969263,https://www.torn.com/images/items/863/large.png,TRUE
864,Salt Shaker,"The Salt Shaker is similar to a pepper shaker, in so much as it is a shaker full of salt, rather than pepper. You may wish to send it to someone who frequently dispenses excess sodium within the forums.",,,Other,,0,5,71427,136138,https://www.torn.com/images/items/864/large.png,TRUE
865,Poison Mistletoe,"The quickest route to pleasure is through someone else's misery. If 2017 had a slogan, that would be it. So why not ring out the year by smooching under this Poison Mistletoe, which contains a hidden spritzer allowing you to drench your beloved in toxic chemicals and gain happiness at their expense.","Decreases a target's happiness by 25%, increasing your happiness by the same amount.",,Special,,0,0,53923744,20658,https://www.torn.com/images/items/865/large.png,TRUE
866,Santa's List '17,"Have you been naughty or nice in 2017? This list was stolen from Santa's grotto and contains the names of all Torn's citizens neatly separated into two, highly judgemental columns. Those with split personality disorders are deemed eligible for both.",,,Collectible,,0,0,0,100,https://www.torn.com/images/items/866/large.png,TRUE
867,Soapbox,"Have you got something mean to say about staff or Chedburn? Perhaps you're leaving the game due to a recent change and you'd like everyone to stand up and notice. If so, you'll need a portable pontification podium from which to preach your wisdom. Feel free to pass on the Soapbox to those who need it most.",,,Collectible,,0,0,0,25,https://www.torn.com/images/items/867/large.png,TRUE
868,Turkey Baster,"The favoured tool of same sex and surrogate parents, this turkey baster can be employed to assist in the impregnation of a human woman without resorting to formal intercourse. It may also be used to slather a piece of cooked meat in its own juices - after you've rinsed it out.",,,Other,,0,1,3501,579565,https://www.torn.com/images/items/868/large.png,TRUE
869,Elon Musk Mask '17,"The fragrantly-named Elon Musk poses a threat to humanity like no man before. A potential super-villain in the making, his artificially intelligent bidets and hyperscoop payment pals will destroy us all. Amber Heard found this out for herself, so please, raise awareness of Musk's evil intentions by sporting this mask of his face. Just like Space X rockets, this mask is reusable and may explode upon impact.",,,Clothing,,0,0,0,250,https://www.torn.com/images/items/869/large.png,TRUE
870,Love Juice,"Made from the secretions of the Patagonian Filth Weasel, Love Juice is a fast acting aphrodisiac - or so it says on the label. In reality, this product is known to be useless, unless you are exposed to a large cloud of human reproductive pheromones, in which case it will make you angry, hyperactive and strangely Samaritan.",Reduces attack & revive energy cost by 10. Increases Speed by 50% and Dexterity by 25%.,Only works during the Valentine's day event.,Drug,,0,0,5325909,124463,https://www.torn.com/images/items/870/large.png,TRUE
871,Bug Swatter,This bug swatter is given to those who report serious exploits or bugs which they could have abused for their own gain. The number of these items in circulation gives a good idea of how honest citizens really are.,,,Melee,Slashing,0,0,0,43,https://www.torn.com/images/items/871/large.png,FALSE
872,Nothing,"Following the results of a city-wide poll, the people of Torn decided that the first 100 people to reach Level 100 should be given nothing. So here it is. Absolutely diddly squat. Zilch. Nada. Nowt.",Does nothing.,Requires nothing.,Collectible,,0,0,0,100,https://www.torn.com/images/items/872/large.png,FALSE
873,Bottle of Green Stout,"Consisting of nothing more than a glug of Irish stout and copious amounts of toxic green food colouring, this emerald-coloured beverage will give you the supreme confidence of a drunk while also serving to clean out your colon in record time. Provides a very large nerve increase when consumed.",Increases nerve by 5 and booster cooldown by 1 hour.,,Alcohol,,0,0,994132,111426,https://www.torn.com/images/items/873/large.png,TRUE
874,Prototype,"A weapon provisionally delegated by Torn authorities to members of the staff and committee for the experimentation of special bonuses. The firearm should be kept in optimal condition and cleaned regularly during entrustment, may be repossessed at any time.","Can be used to initiate simulated attacks when equipped.
Can adopt any weapon bonuses currently in existence.",,Secondary,Rifle,0,0,0,95,https://www.torn.com/images/items/874/large.png,FALSE
875,Rotten Apple,"A withered apple. It's puckered skin is spotted with age. Shaking the apple stirs a faint rattling, as dried seeds echo within its woody core.",,,Other,,0,0,396,1772969,https://www.torn.com/images/items/875/large.png,TRUE
876,Festering Chicken,"A decaying chicken drumstick half covered in dried ranch dressing. Despite its rancid aroma, it is considered a delicacy by much of Torn City's animal population.",,,Other,,0,0,902,489460,https://www.torn.com/images/items/876/large.png,TRUE
877,Moldy Pizza,A putrid slice of pizza adorned with mushrooms of dubious origin. Sniffing it very carefully reveals the faintest odour of anchovies.,,,Other,,0,0,1342,428211,https://www.torn.com/images/items/877/large.png,TRUE
878,Smelly Cheese,"A rancid slice of cheese garnished with gobs of spoiled mayonnaise. Left out in the sun too long, it oozes grease.",,,Other,,0,0,8126,363752,https://www.torn.com/images/items/878/large.png,TRUE
879,Sour Milk,A grubby bottle of spoiled milk. The glass is smeared with greasy fingerprints and the contents are dried and lumpy. It is not a good idea to smell this item.,,,Other,,0,0,1523,258437,https://www.torn.com/images/items/879/large.png,TRUE
880,Stale Bread,"A piece of dry bread. Once part of a sandwich, now it is home to a collection of molds.",,,Other,,0,0,2485,219809,https://www.torn.com/images/items/880/large.png,TRUE
881,Spoiled Fish,"A fetid piece of fish, half rotted, then dried in the midday sun. In some places this might be considered a local delicacy. Torn City is not one of them.",,,Other,,0,0,3549,176484,https://www.torn.com/images/items/881/large.png,TRUE
882,Insurance Policy,"A fully customizable insurance policy with blanks in both standard and non-standard places. It can be used to insure anything and everyone, with or without their knowledge.",,,Material,,0,1,14201,843495,https://www.torn.com/images/items/882/large.png,TRUE
883,Bank Statement,"A bank statement bearing the name, address and account number of someone unfortunate with money to steal.",Used during the production of forgery projects.,,Material,,0,1,15038,1255662,https://www.torn.com/images/items/883/large.png,TRUE
884,Car Battery,A fully charged car battery.,Required by the Reviver role during the Manifest Cruelty scenario.,,Tool,,0,0,410,5982736,https://www.torn.com/images/items/884/large.png,TRUE
885,Scrap Metal,A useful-looking piece of scrap metal. This item can be sold for cash or put to a number of innovative and profitable uses.,,,Other,,0,50,242,17260736,https://www.torn.com/images/items/885/large.png,TRUE
886,Torn City Times,"Read all about Torn's most dangerous criminals in the city's only officially recognized newspaper!

The Torn City Times: Bringing you the biggest, realest, newest news.",Unlocks additional outcomes in Shoplifting.,,Tool,,0,0,5338,624392,https://www.torn.com/images/items/886/large.png,TRUE
887,Magazine,"Karma! Magazine: Exposing the looks, loves and dirty laundry of Torn's hottest criminals.",,,Other,,0,5,365,2105310,https://www.torn.com/images/items/887/large.png,TRUE
